index,budget,genres,homepage,id,keywords,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,cast,director,userId
43,200000000,Action Science Fiction Thriller,https://www.warnerbros.com/terminator-salvation,534,saving the world artificial intelligence prophecy san francisco cyborg,en,Terminator Salvation,71.862892,20-05-2009,371353001,115,Released,The End Begins.,Terminator Salvation,5.9,2463,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG,1
44,190000000,Action,http://www.furious7.com/,168259,car race speed revenge suspense car,en,Furious 7,102.322217,01-04-2015,1506249360,137,Released,Vengeance Hits Home,Furious 7,7.3,4176,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan,3
45,200000000,Action Drama Horror Science Fiction Thriller,http://www.worldwarzmovie.com,72190,dystopia apocalypse zombie nuclear weapons multiple perspectives,en,World War Z,81.834855,20-06-2013,531865000,116,Released,Remember Philly!,World War Z,6.7,5560,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster,43
46,250000000,Action Adventure Fantasy Science Fiction,http://www.x-menmovies.com/,127585,1970s mutant time travel marvel comic based on comic book,en,X-Men: Days of Future Past,118.078691,15-05-2014,747862775,131,Released,"To save the future, they must alter the past",X-Men: Days of Future Past,7.5,6032,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer,39
47,190000000,Action Adventure Science Fiction,,54138,spacecraft friendship sequel futuristic space,,Star Trek Into Darkness,78.291018,05-05-2013,467365246,132,Released,Earth Will Fall,Star Trek Into Darkness,7.4,4418,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams,42
48,195000000,Action Family Fantasy,http://jackthegiantkiller.warnerbros.com,81005,based on fairy tale giant,en,Jack the Giant Slayer,43.349855,27-02-2013,197687603,114,Released,Prepare for a giant adventure,Jack the Giant Slayer,5.5,2598,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer,45
49,105000000,Drama Romance,,64682,based on novel infidelity obsession hope 3d,en,The Great Gatsby,61.196071,10-05-2013,351040419,143,Released,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,7.3,3769,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann,5
50,150000000,Adventure Fantasy Action Romance,http://disney.go.com/disneypictures/princeofpersia,9543,persia sandstorm brother against brother armageddon regent,en,Prince of Persia: The Sands of Time,62.169881,19-05-2010,335154643,116,Released,Defy the Future,Prince of Persia: The Sands of Time,6.2,2317,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell,14
51,180000000,Action Science Fiction Adventure,http://www.pacificrimmovie.com/,68726,dystopia giant robot giant monster apocalypse imax,en,Pacific Rim,56.523205,11-07-2013,407602906,131,Released,"To Fight Monsters, We Created Monsters",Pacific Rim,6.7,4794,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro,11
52,195000000,Action Science Fiction Adventure,http://www.transformersmovie.com/,38356,moon spacecraft traitor bodyguard alien planet,en,Transformers: Dark of the Moon,28.529607,28-06-2011,1123746996,154,Released,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,6.1,3299,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay,7
